as_index,as_name,as_cum_dist,as_dist
AS1,Ramsey Rd,5.8,5.8
AS2,Ramsey,11.3,5.5
AS3,Lower Pine Bottom,17.8,6.5
AS4,Browns Run,25.8,8
AS5,Happy Dutchman,31.6,5.8
AS6,Ritchie Road,38.5,6.9
AS7,Hyner Run,43.2,4.7
AS8,Dry Run,51.1,7.9
AS9,Halfway House,54.7,3.6
AS10,Callahan Run,59.4,4.7
AS11,Slate Run,63.8,4.4
AS12,Algerines,69.1,5.3
AS13,Long Branch,75.6,6.5
AS14,Blackwell,80.3,4.7
AS15,Skytop,84.8,4.5
AS16,Barrens,92.8,8
AS17,Hacketts,99.1,6.3
FINISH,Little Pine Creek SP,102.9,3.8